OBJECTID,NPU,STATISTICA,POP2010,NEIGHBORHO,URL,A,pop,white,black,asian,other,hispanic,GlobalID,last_edited_date
11,NPU E,E02,7232,"Georgia Tech, Marietta Street Artery",http://documents.atlantaregional.com/AtlantaProfiles/E02.pdf,"Georgia Tech, Marietta Street Artery",7232,60.4,8.9,22.5,3.5,4.7,{EAF6C7F6-56D5-4043-BAFF-B10D98F88F4D},
12,NPU M,M01,14560,"Castleberry Hill, Downtown",http://documents.atlantaregional.com/AtlantaProfiles/M01.pdf,"Castleberry Hill, Downtown",14560,32.2,53.4,6.8,2.8,4.8,{C6017AF8-752F-4E8F-B5D1-F72913ABBAD7},
13,NPU E,E07,16218,Midtown,http://documents.atlantaregional.com/AtlantaProfiles/E07.pdf,Midtown,16218,68.2,15.9,7.5,3.1,5.4,{B2CD82FA-BE4A-4DEA-8C3F-9A3A6F583B11},
14,NPU E,E06,4706,Home Park,http://documents.atlantaregional.com/AtlantaProfiles/E06.pdf,Home Park,4706,45.5,17.1,28.9,3.8,4.7,{D46A9CCF-4284-48B1-A69A-0247AD60C360},
15,NPU I,I01,2881,"Beecher Hills, Florida Heights, Westwood Terrace",http://documents.atlantaregional.com/AtlantaProfiles/I01.pdf,"Beecher Hills, Florida Heights, Westwood Terrace",2881,1.3,95.3,0.1,1.5,1.8,{FBB8ED88-276C-459E-9D13-55BBBA49AD2F},
16,NPU S,S02,4084,"Fort McPherson, Venetian Hills",http://documents.atlantaregional.com/AtlantaProfiles/S02.pdf,"Fort McPherson, Venetian Hills",4084,7.1,89.5,0.4,1.6,1.3,{A8C98BB2-5F50-44A8-B50F-07DD31455DE6},2017/11/14 16:44:18+00
17,NPU X,X04,4632,Sylvan Hills,http://documents.atlantaregional.com/AtlantaProfiles/X04.pdf,Sylvan Hills,4632,10,85.4,0.5,1.6,2.5,{80D49F8B-EC02-4369-946D-2D8AEE36D174},
18,NPU X,X01,2648,"Capitol View, Capitol View Manor",http://documents.atlantaregional.com/AtlantaProfiles/X01.pdf,"Capitol View, Capitol View Manor",2648,12.8,82.6,0.4,1.8,2.4,{AEDB5D32-A54C-442E-BEC7-78F0217DD7BB},
19,NPU S,S01,3672,"Bush Mountain, Oakland City",http://documents.atlantaregional.com/AtlantaProfiles/S01.pdf,"Bush Mountain, Oakland City",3672,1.7,95.8,0.2,1.1,1.1,{839CF9AB-734F-48C9-BB9E-959A180242B2},2017/11/14 16:45:46+00
20,NPU T,T03,3138,Westview,http://documents.atlantaregional.com/AtlantaProfiles/T03.pdf,Westview,3138,3.4,93.3,0.2,1.8,1.3,{371834D1-1DFB-4EED-8F3E-46C61D46410E},
